new-namespace	classname	path	old-namespace
DataPool\UrlKeyStore\Exception	ContextDataIsNotAStringException	src/DataPool/UrlKeyStore/Exception/ContextDataIsNotAStringException.php	LizardsAndPumpkins\DataPool\UrlKeyStore\Exception
Context\Locale	ContextLocale	src/Context/ContextBuilder/ContextLocale.php	LizardsAndPumpkins\Context\ContextBuilder
Context\DataVersion	ContextVersion	src/Context/ContextBuilder/ContextVersion.php	LizardsAndPumpkins\Context\ContextBuilder
Context\Website	ContextWebsite	src/Context/ContextBuilder/ContextWebsite.php	LizardsAndPumpkins\Context\ContextBuilder
Http\Exception	CookieNotSetException	src/Http/Exception/CookieNotSetException.php	LizardsAndPumpkins\Http\Exception
Context\Country	Country	src/Country/Country.php	LizardsAndPumpkins\Country
Translation	CsvTranslator	src/Renderer/Translation/CsvTranslator.php	LizardsAndPumpkins\Renderer\Translation
DataPool\SearchEngine\FacetFieldTransformation	CurrencyPriceRangeTransformation	src/ContentDelivery/Catalog/Search/FacetFieldTransformation/CurrencyPriceRangeTransformation.php	LizardsAndPumpkins\ContentDelivery\Catalog\Search\FacetFieldTransformation
DataPool	DataPoolReader	src/DataPool/DataPoolReader.php	LizardsAndPumpkins\DataPool
DataPool	DataPoolWriter	src/DataPool/DataPoolWriter.php	LizardsAndPumpkins\DataPool
Context\DataVersion	DataVersion	src/DataVersion.php	LizardsAndPumpkins
DataPool\UrlKeyStore\Exception	DataVersionIsNotAStringException	src/DataPool/UrlKeyStore/Exception/DataVersionIsNotAStringException.php	LizardsAndPumpkins\DataPool\UrlKeyStore\Exception
UNUSED	DataVersionMissingInContextDataSetException	src/Context/Exception/DataVersionMissingInContextDataSetException.php	LizardsAndPumpkins\Context\Exception
DataPool\UrlKeyStore\Exception	DataVersionToWriteIsEmptyStringException	src/DataPool/UrlKeyStore/Exception/DataVersionToWriteIsEmptyStringException.php	LizardsAndPumpkins\DataPool\UrlKeyStore\Exception
Logging	DebugLogMessage	src/Log/DebugLogMessage.php	LizardsAndPumpkins\Log
ProductSearch\Import	DefaultAttributeValueCollector	src/Product/ProductSearch/DefaultAttributeValueCollector.php	LizardsAndPumpkins\Product\ProductSearch
Http\ContentDelivery	DefaultHttpResponse	src/DefaultHttpResponse.php	LizardsAndPumpkins
	DefaultWebFront	src/DefaultWebFront.php	LizardsAndPumpkins
UNUSED	Directory	src/Utils/Directory.php	LizardsAndPumpkins\Utils
Util\Exception	DirectoryDoesNotExistException	src/Utils/Exception/DirectoryDoesNotExistException.php	LizardsAndPumpkins\Utils\Exception
Util\Exception	DirectoryNotWritableException	src/Utils/Exception/DirectoryNotWritableException.php	LizardsAndPumpkins\Utils\Exception
Messaging\Event	DomainEventConsumer	src/DomainEventConsumer.php	LizardsAndPumpkins
Messaging\Event\Exception	DomainEventHandlerFailedMessage	src/DomainEventHandlerFailedMessage.php	LizardsAndPumpkins
Messaging\Event	DomainEventHandlerLocator	src/DomainEventHandlerLocator.php	LizardsAndPumpkins
Messaging\Event	DomainEventProcessedLogMessage	src/Projection/DomainEventProcessedLogMessage.php	LizardsAndPumpkins\Projection
Import\Product\Composite\Exception	DuplicateAssociatedProductException	src/Product/Composite/Exception/DuplicateAssociatedProductException.php	LizardsAndPumpkins\Product\Composite\Exception
Import\Product\Listing\Exception	DuplicateProductListingAttributeException	src/Product/Exception/DuplicateProductListingAttributeException.php	LizardsAndPumpkins\Product\Exception
Context\DataVersion\Exception	EmptyVersionException	src/Exception/EmptyVersionException.php	LizardsAndPumpkins\Exception
Http\ContentDelivery\ProductJsonService	EnrichProductJsonWithPrices	src/ContentDelivery/Catalog/ProductJsonService/EnrichProductJsonWithPrices.php	LizardsAndPumpkins\ContentDelivery\Catalog\ProductJsonService
Util\Config\Exception	EnvironmentConfigKeyIsEmptyException	src/Exception/EnvironmentConfigKeyIsEmptyException.php	LizardsAndPumpkins\Exception
Util\Config\Exception	EnvironmentConfigKeyIsNotAStringException	src/Exception/EnvironmentConfigKeyIsNotAStringException.php	LizardsAndPumpkins\Exception
Util\Config	EnvironmentConfigReader	src/EnvironmentConfigReader.php	LizardsAndPumpkins
DataPool\SearchEngine	FacetField	src/DataPool/SearchEngine/FacetField.php	LizardsAndPumpkins\DataPool\SearchEngine
DataPool\SearchEngine	FacetFieldCollection	src/DataPool/SearchEngine/FacetFieldCollection.php	LizardsAndPumpkins\DataPool\SearchEngine
